year,week,lon,lat,gear,effort,taxon,tax_code,landings,length_class,filename,quarterx,countryx
2012,NA,-10.5,48.25,LL1,NA,NA,ARU,0.036,O15M,DCF_landings,3,ESP
2012,NA,-10.5,48.75,LL1,NA,NA,ARU,0.045,O15M,DCF_landings,4,ESP
2010,NA,-10.5,48.75,PEL_TRAWL,NA,NA,ARU,1.9558,O15M,DCF_landings,1,ENG
2010,NA,-11.5,49.25,PEL_TRAWL,NA,NA,ARU,0.5441,O15M,DCF_landings,1,ENG
2011,NA,-10.5,49.75,PEL_TRAWL,NA,NA,ARU,0.1,O15M,DCF_landings,2,ENG
2012,NA,-8.5,48.25,OTTER,NA,NA,BOC,473.2042,O15M,DCF_landings,3,SCO
2012,NA,-7.5,48.25,OTTER,NA,NA,BOC,205.2792,O15M,DCF_landings,3,SCO
2012,NA,-7.5,48.25,OTTER,NA,NA,BOC,266.9242,O15M,DCF_landings,4,SCO
2012,NA,-8.5,48.75,OTTER,NA,NA,BOC,988.8438,O15M,DCF_landings,3,SCO
2012,NA,-7.5,48.75,OTTER,NA,NA,BOC,250.853,O15M,DCF_landings,3,SCO
2014,NA,-11.5,49.25,PEL_TRAWL,NA,NA,BOC,0.105,O15M,DCF_landings,2,NED
2014,NA,-10.5,49.25,PEL_TRAWL,NA,NA,BOC,8,O15M,DCF_landings,1,SCO
2012,NA,-7.5,48.25,TR3,NA,NA,BOC,132.1224,O15M,DCF_landings,4,SCO
2012,NA,-7.5,48.75,TR3,NA,NA,BOC,73.4014,O15M,DCF_landings,3,SCO
2012,NA,-7.5,48.75,TR3,NA,NA,BOC,748.6938,O15M,DCF_landings,4,SCO
2006,NA,-6.5,48.75,BEAM,NA,Cod,COD,0.0631,O15M,DCF_landings,2,ENG
2006,NA,-6.5,49.75,BEAM,NA,Cod,COD,0.0748,O15M,DCF_landings,2,ENG
2008,NA,-5.5,51.25,BEAM,NA,Cod,COD,0.0115,O15M,DCF_landings,4,ENG
2009,NA,-6.5,51.75,BEAM,NA,Cod,COD,0.08,O15M,DCF_landings,2,BEL
2010,NA,-6.5,51.25,BEAM,NA,Cod,COD,0.02,O15M,DCF_landings,3,BEL
2010,NA,-5.5,51.25,BEAM,NA,Cod,COD,0.08,O15M,DCF_landings,3,BEL
2011,NA,-5.5,51.25,BEAM,NA,Cod,COD,0.26,O15M,DCF_landings,3,BEL
2011,NA,-6.5,51.75,BEAM,NA,Cod,COD,0.085,O15M,DCF_landings,3,BEL
2011,NA,-5.5,51.75,BEAM,NA,Cod,COD,0.085,O15M,DCF_landings,3,BEL
2012,NA,-5.5,50.75,BEAM,NA,Cod,COD,0.08,O15M,DCF_landings,2,BEL
2012,NA,-5.5,51.25,BEAM,NA,Cod,COD,0.28,O15M,DCF_landings,2,BEL
2012,NA,-5.5,51.25,BEAM,NA,Cod,COD,0.105,O15M,DCF_landings,3,BEL
2013,NA,-5.5,49.25,BEAM,NA,Cod,COD,0.1036,O15M,DCF_landings,4,ENG
2013,NA,-6.5,50.25,BEAM,NA,Cod,COD,0.0789,O15M,DCF_landings,4,ENG
2013,NA,-5.5,51.25,BEAM,NA,Cod,COD,0.05,O15M,DCF_landings,2,BEL
2013,NA,-5.5,51.25,BEAM,NA,Cod,COD,0.047,O15M,DCF_landings,3,BEL
2014,NA,-5.5,48.75,BEAM,NA,Cod,COD,0.001,O15M,DCF_landings,3,BEL
2014,NA,-5.5,49.25,BEAM,NA,Cod,COD,0.0072,O15M,DCF_landings,2,ENG
2014,NA,-5.5,49.75,BEAM,NA,Cod,COD,0.0228,O15M,DCF_landings,1,ENG
2014,NA,-5.5,49.75,BEAM,NA,Cod,COD,0.0039,O15M,DCF_landings,2,ENG
2014,NA,-5.5,49.75,BEAM,NA,Cod,COD,0.0322,O15M,DCF_landings,3,ENG
2014,NA,-5.5,49.75,BEAM,NA,Cod,COD,0.0045,O15M,DCF_landings,4,ENG
2014,NA,-5.5,51.25,BEAM,NA,Cod,COD,0.009,O15M,DCF_landings,3,BEL
2008,NA,-5.5,49.25,BT1,NA,Cod,COD,0.3,O15M,DCF_landings,2,BEL
2013,NA,-5.5,50.75,BT1,NA,Cod,COD,0.033,O15M,DCF_landings,2,BEL
2014,NA,-7.5,48.25,BT1,NA,Cod,COD,0.0341,O15M,DCF_landings,3,ENG
2014,NA,-6.5,48.75,BT1,NA,Cod,COD,0.0037,O15M,DCF_landings,1,ENG
2014,NA,-5.5,49.25,BT1,NA,Cod,COD,0.0027,O15M,DCF_landings,2,ENG
